,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,4,1,COBYLA,154,0.310147762298584,"['1010', '0101']","['0101', '1010']",1.0,"[1.0, 1.0]","[0, 0]"
1,4,1,COBYLA,155,0.4476203918457031,"['1010', '0101']","['0101', '1010']",1.0,"[1.0, 1.0]","[0, 0]"
2,4,1,COBYLA,68,0.14162206649780273,"['1100', '0011']","['0101', '1010']",0.333,"[0.333, 0.333]","[2, 2]"
3,4,1,COBYLA,107,0.2598142623901367,"['1010', '0101']","['0101', '1010']",1.0,"[1.0, 1.0]","[0, 0]"
4,4,1,COBYLA,134,0.2841465473175049,"['1010', '0101']","['0101', '1010']",1.0,"[1.0, 1.0]","[0, 0]"
5,4,1,COBYLA,138,0.26993584632873535,"['1010', '0101']","['0101', '1010']",1.0,"[1.0, 1.0]","[0, 0]"
6,4,1,COBYLA,51,0.09997153282165527,"['1100', '0011']","['0101', '1010']",0.333,"[0.333, 0.333]","[2, 2]"
7,4,1,COBYLA,116,0.23012757301330566,"['1010', '0101']","['0101', '1010']",1.0,"[1.0, 1.0]","[0, 0]"
8,4,1,COBYLA,52,0.10389828681945801,"['1100', '0011']","['0101', '1010']",0.333,"[0.333, 0.333]","[2, 2]"
9,4,1,COBYLA,140,0.2710716724395752,"['1010', '0101']","['0101', '1010']",1.0,"[1.0, 1.0]","[0, 0]"
