,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,COBYLA,80,0.775,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,COBYLA,81,0.803,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,COBYLA,123,1.15,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,COBYLA,95,1.039,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,COBYLA,91,0.887,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,COBYLA,71,0.7,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
6,14,1,COBYLA,69,0.685,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
7,14,1,COBYLA,106,0.972,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,COBYLA,94,0.843,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,COBYLA,72,0.657,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
