,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,CRS,1000,6.991,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,CRS,1000,6.696,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,CRS,1003,6.851,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,CRS,1000,7.124,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,CRS,1000,7.075,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,CRS,1000,7.036,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,CRS,1006,7.021,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,CRS,1002,6.973,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,CRS,1005,6.754,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,CRS,1005,7.175,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
