,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,DIRECT_L_RAND,1000,7.005,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,DIRECT_L_RAND,1000,6.817,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,DIRECT_L_RAND,1000,7.506,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,DIRECT_L_RAND,1000,7.792,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
4,14,1,DIRECT_L_RAND,1000,6.741,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,DIRECT_L_RAND,1000,6.591,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,DIRECT_L_RAND,1000,6.452,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,DIRECT_L_RAND,1000,6.866,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,DIRECT_L_RAND,1000,7.349,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,DIRECT_L_RAND,1000,9.751,"['01111111111110', '10000000000001']","['01010101010101', '10101010101010']",0.154,"[0.154, 0.154]","[7, 7]"
