,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,ADAM,30001,204.035,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,ADAM,4018,27.198,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,ADAM,30001,197.169,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,ADAM,21322,149.379,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,ADAM,2833,18.532,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,ADAM,4315,27.48,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,ADAM,30001,190.802,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,ADAM,30001,191.189,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,ADAM,30001,191.868,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,ADAM,30001,191.291,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
