,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,IMFIL,73,0.477,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,IMFIL,62,0.487,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,IMFIL,55,0.366,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,IMFIL,65,0.459,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,IMFIL,76,0.51,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,IMFIL,75,0.528,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,IMFIL,54,0.462,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,IMFIL,55,0.393,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,IMFIL,80,0.54,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,IMFIL,68,0.471,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
