,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,SPSA,251,1.595,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,SPSA,251,1.576,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,SPSA,251,1.612,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,SPSA,251,1.589,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,SPSA,251,1.596,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,SPSA,251,1.598,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,SPSA,251,1.642,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,SPSA,251,1.596,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,SPSA,251,1.6,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,SPSA,251,1.597,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
