,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,14,1,ADAM,7242.1,8951.477,67.317,83.907,0.892,0.074,3
0,0,14,1,BOBYQA,890.8,314.328,10.01,3.676,0.773,0.198,2
0,0,14,1,CG,62.7,17.858,0.605,0.173,0.892,0.074,3
0,0,14,1,COBYLA,88.2,17.197,0.851,0.162,0.954,0.074,7
0,0,14,1,CRS,1002.1,2.47,6.97,0.156,1.0,0.0,10
0,0,14,1,DIRECT_L,1000.0,0.0,6.665,0.173,1.0,0.0,10
0,0,14,1,DIRECT_L_RAND,1000.0,0.0,7.287,0.962,0.9,0.267,8
0,0,14,1,ESCH,1000.0,0.0,9.826,0.152,0.905,0.3,9
0,0,14,1,GSLS,242.2,84.382,1.842,0.67,0.888,0.156,5
0,0,14,1,IMFIL,71.4,7.72,0.515,0.074,1.0,0.0,10
0,0,14,1,ISRES,1000.0,0.0,9.542,0.145,0.31,0.312,1
0,0,14,1,L_BFGS_B,34.2,19.401,0.326,0.19,0.823,0.184,3
0,0,14,1,NELDER_MEAD,65.6,7.276,0.432,0.049,0.954,0.074,7
0,0,14,1,NFT,1025.0,0.0,9.274,1.222,0.546,0.42,2
0,0,14,1,POWELL,46.4,9.383,0.383,0.138,1.0,0.0,10
0,0,14,1,SLSQP,16.7,9.889,0.156,0.092,0.708,0.179,0
0,0,14,1,SPSA,251.0,0.0,1.926,0.224,0.858,0.145,3
0,0,14,1,TNC,155.4,91.573,1.486,0.876,0.869,0.204,6
