,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,14,1,ADAM,21249.4,12393.579,138.894,80.351,1.0,0.0,10
0,0,14,1,BOBYQA,700.0,483.046,5.914,4.085,0.85,0.242,7
0,0,14,1,CG,197.2,90.213,1.278,0.585,1.0,0.0,10
0,0,14,1,COBYLA,338.1,87.96,2.156,0.564,1.0,0.0,10
0,0,14,1,CRS,1001.9,2.601,6.632,0.289,1.0,0.0,10
0,0,14,1,DIRECT_L,1000.0,0.0,9.683,0.52,1.0,0.0,10
0,0,14,1,DIRECT_L_RAND,1000.0,0.0,9.845,0.107,1.0,0.0,10
0,0,14,1,ESCH,1000.0,0.0,9.903,0.078,0.95,0.158,9
0,0,14,1,GSLS,1534.6,1121.698,9.666,7.061,0.95,0.158,9
0,0,14,1,IMFIL,66.3,9.615,0.469,0.055,1.0,0.0,10
0,0,14,1,ISRES,1000.0,0.0,8.477,1.65,0.414,0.494,3
0,0,14,1,L_BFGS_B,262.5,214.92,1.69,1.381,1.0,0.0,10
0,0,14,1,NELDER_MEAD,74.7,5.794,0.476,0.035,1.0,0.0,10
0,0,14,1,NFT,1025.0,0.0,6.402,0.039,0.723,0.416,6
0,0,14,1,POWELL,39.8,8.011,0.25,0.05,1.0,0.0,10
0,0,14,1,SLSQP,16.2,8.509,0.106,0.055,0.8,0.258,6
0,0,14,1,SPSA,251.0,0.0,1.6,0.017,1.0,0.0,10
0,0,14,1,TNC,179.4,88.79,1.162,0.562,0.95,0.158,9
