,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,1,COBYLA,104.4,52.93434088041944,0.1510999999999999,0.0761685995378381,0.7332,0.3444373189227129,6
0,0,6,1,COBYLA,100.4,25.003110917554952,0.1575,0.0385580370639147,0.8799999999999999,0.1932183566158592,7
0,0,8,1,COBYLA,82.7,26.683536330687343,0.1512,0.0520529644795674,0.857,0.1507352351346927,5
0,0,10,1,COBYLA,81.9,14.594138853967674,0.1804,0.032125448548533,0.889,0.11700427342623,5
0,0,12,1,COBYLA,93.7,18.415271440362268,0.2979,0.0551773906998549,0.909,0.0959224223584408,5
0,0,14,1,COBYLA,82.6,13.664227424597083,0.5322,0.0936148136425712,0.923,0.0811651266109884,5
0,0,16,1,COBYLA,88.5,15.629388272666905,2.8221,0.548812951337298,0.9468,0.0686809046727448,6
0,0,18,1,COBYLA,90.7,21.6386998993316,12.1371,2.833457269838386,0.9882,0.0373148763899868,9
0,0,20,1,COBYLA,93.2,16.205623166735126,61.3926,10.76698414599,0.979,0.0442718872423573,8
0,0,22,1,COBYLA,83.3,22.968819444339463,242.12,67.22349489741084,0.9622,0.0325330601081422,4
