,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,1,COBYLA,237.8,47.017254515998935,0.3482999999999999,0.0694710971075981,0.9333,0.2109239199332309,9
0,0,6,1,COBYLA,251.6,72.50930974709385,0.4301,0.1206053711720815,1.0,0.0,10
0,0,8,1,COBYLA,336.5,228.64978071763423,0.6891999999999999,0.4635634440577327,0.8572,0.2426610805217845,7
0,0,10,1,COBYLA,487.8,433.9108459375293,1.273,1.1431373009787096,0.8446,0.1302904447762766,2
0,0,12,1,COBYLA,539.4,430.4052870389851,2.2657,1.8132632982798969,0.8178999999999998,0.1187503918122191,2
0,0,14,1,COBYLA,431.6,343.08832681978555,3.3831,2.673692014591226,0.7679,0.1534944443439059,2
0,0,16,1,COBYLA,564.6,305.4436481942655,17.102600000000002,9.259734711822652,0.6265,0.1064604777996667,0
0,0,18,1,COBYLA,504.0,391.89142487287074,64.5328,50.09443667447847,0.5571,0.0623653215604099,0
0,0,20,1,COBYLA,306.6,413.2586491667308,195.25100000000003,264.1096234525017,0.5178,0.0287239737269526,0
0,0,22,1,COBYLA,284.5,354.88409688547927,819.4537,1021.7052273949826,0.5,0.0,0
