,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,CG,60,0.55,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
1,14,1,CG,60,0.575,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,CG,81,0.76,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,CG,51,0.493,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
4,14,1,CG,69,0.68,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
5,14,1,CG,99,0.974,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
6,14,1,CG,33,0.327,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
7,14,1,CG,51,0.519,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
8,14,1,CG,60,0.572,"['11010101010100', '00101010101011']","['01010101010101', '10101010101010']",0.846,"[0.846, 0.846]","[2, 2]"
9,14,1,CG,63,0.604,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
