,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,ESCH,1000,9.975,"['00000000000000', '11000000000000', '11111111111100', '00000000000011', '00111111111111', '11111111111111']","['01010101010101', '10101010101010']",0.051,"[-0.0, 0.077, 0.077, 0.077, 0.077, -0.0]","[7, 7, 7, 7, 7, 7]"
1,14,1,ESCH,1000,9.858,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,ESCH,1000,9.721,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,ESCH,1000,9.694,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,ESCH,1000,9.763,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,ESCH,1000,9.877,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,ESCH,1000,9.928,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,ESCH,1000,10.002,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,ESCH,1000,9.926,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,ESCH,1000,9.511,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
