,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,POWELL,67,0.657,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,POWELL,61,0.585,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,POWELL,42,0.401,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,POWELL,42,0.395,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,POWELL,42,0.394,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,POWELL,42,0.275,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,POWELL,42,0.28,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,POWELL,42,0.287,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,POWELL,42,0.275,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,POWELL,42,0.279,"['10101010101010', '01010101010101']","['01010101010101', '10101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
