,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,CRS,1000,6.459,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,CRS,1001,6.812,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,CRS,1001,6.493,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,CRS,1001,6.39,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,CRS,1006,6.364,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,CRS,1000,6.537,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,CRS,1003,6.632,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,CRS,1007,6.66,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,CRS,1000,7.359,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,CRS,1000,6.609,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
