,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,DIRECT_L_RAND,1000,9.745,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
1,14,1,DIRECT_L_RAND,1000,9.789,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
2,14,1,DIRECT_L_RAND,1000,9.774,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,DIRECT_L_RAND,1000,9.73,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
4,14,1,DIRECT_L_RAND,1000,9.807,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
5,14,1,DIRECT_L_RAND,1000,10.064,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,DIRECT_L_RAND,1000,9.879,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
7,14,1,DIRECT_L_RAND,1000,9.789,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
8,14,1,DIRECT_L_RAND,1000,9.94,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,DIRECT_L_RAND,1000,9.935,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
