,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,14,1,ISRES,1000,9.992,"['00000000000000', '11111111111111']","['01111111111111', '10000000000000']",-0.0,"[-0.0, -0.0]","[1, 1]"
1,14,1,ISRES,1000,9.97,"['00000000000000', '11111111111111']","['01111111111111', '10000000000000']",-0.0,"[-0.0, -0.0]","[1, 1]"
2,14,1,ISRES,1000,9.924,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
3,14,1,ISRES,1000,9.718,"['00000000000000', '01000000000000', '00100000000000', '01100000000000', '00010000000000', '01010000000000', '00110000000000', '01110000000000', '00001000000000', '01001000000000', '00101000000000', '01101000000000', '00011000000000', '01011000000000', '00111000000000', '00000100000000', '01000100000000', '00100100000000', '01100100000000', '00010100000000', '01010100000000', '00110100000000', '00001100000000', '01001100000000', '00101100000000', '00011100000000', '00000010000000', '01000010000000', '00100010000000', '01100010000000', '00010010000000', '01010010000000', '00110010000000', '00001010000000', '01001010000000', '00101010000000', '00011010000000', '00000110000000', '01000110000000', '00100110000000', '00010110000000', '00001110000000', '00000001000000', '01000001000000', '00100001000000', '01100001000000', '00010001000000', '01010001000000', '00110001000000', '00001001000000', '01001001000000', '00101001000000', '00011001000000', '00000101000000', '01000101000000', '00100101000000', '00010101000000', '00001101000000', '00000011000000', '01000011000000', '00100011000000', '00010011000000', '00001011000000', '00000111000000', '00000000100000', '01000000100000', '00100000100000', '01100000100000', '00010000100000', '01010000100000', '00110000100000', '00001000100000', '01001000100000', '00101000100000', '00011000100000', '00000100100000', '01000100100000', '00100100100000', '00010100100000', '00001100100000', '00000010100000', '01000010100000', '00100010100000', '00010010100000', '00001010100000', '00000110100000', '00000001100000', '01000001100000', '00100001100000', '00010001100000', '00001001100000', '00000101100000', '00000011100000', '00000000010000', '01000000010000', '00100000010000', '01100000010000', '00010000010000', '01010000010000', '00110000010000', '00001000010000', '01001000010000', '00101000010000', '00011000010000', '00000100010000', '01000100010000', '00100100010000', '00010100010000', '00001100010000', '00000010010000', '01000010010000', '00100010010000', '00010010010000', '00001010010000', '00000110010000', '00000001010000', '01000001010000', '00100001010000', '00010001010000', '00001001010000', '00000101010000', '00000011010000', '00000000110000', '01000000110000', '00100000110000', '00010000110000', '00001000110000', '00000100110000', '00000010110000', '00000001110000', '00000000001000', '01000000001000', '00100000001000', '01100000001000', '00010000001000', '01010000001000', '00110000001000', '00001000001000', '01001000001000', '00101000001000', '00011000001000', '00000100001000', '01000100001000', '00100100001000', '00010100001000', '00001100001000', '00000010001000', '01000010001000', '00100010001000', '00010010001000', '00001010001000', '00000110001000', '00000001001000', '01000001001000', '00100001001000', '00010001001000', '00001001001000', '00000101001000', '00000011001000', '00000000101000', '01000000101000', '00100000101000', '00010000101000', '00001000101000', '00000100101000', '00000010101000', '00000001101000', '00000000011000', '01000000011000', '00100000011000', '00010000011000', '00001000011000', '00000100011000', '00000010011000', '00000001011000', '00000000111000', '11111111111000', '00000000000100', '01000000000100', '00100000000100', '01100000000100', '00010000000100', '01010000000100', '00110000000100', '00001000000100', '01001000000100', '00101000000100', '00011000000100', '00000100000100', '01000100000100', '00100100000100', '00010100000100', '00001100000100', '00000010000100', '01000010000100', '00100010000100', '00010010000100', '00001010000100', '00000110000100', '00000001000100', '01000001000100', '00100001000100', '00010001000100', '00001001000100', '00000101000100', '00000011000100', '00000000100100', '01000000100100', '00100000100100', '00010000100100', '00001000100100', '00000100100100', '00000010100100', '00000001100100', '00000000010100', '01000000010100', '00100000010100', '00010000010100', '00001000010100', '00000100010100', '00000010010100', '00000001010100', '00000000110100', '11111111110100', '00000000001100', '01000000001100', '00100000001100', '00010000001100', '00001000001100', '00000100001100', '00000010001100', '00000001001100', '00000000101100', '11111111101100', '00000000011100', '11111111011100', '11111110111100', '11111101111100', '11111011111100', '11110111111100', '11101111111100', '11011111111100', '10111111111100', '11111111111100', '00000000000010', '01000000000010', '00100000000010', '01100000000010', '00010000000010', '01010000000010', '00110000000010', '00001000000010', '01001000000010', '00101000000010', '00011000000010', '00000100000010', '01000100000010', '00100100000010', '00010100000010', '00001100000010', '00000010000010', '01000010000010', '00100010000010', '00010010000010', '00001010000010', '00000110000010', '00000001000010', '01000001000010', '00100001000010', '00010001000010', '00001001000010', '00000101000010', '00000011000010', '00000000100010', '01000000100010', '00100000100010', '00010000100010', '00001000100010', '00000100100010', '00000010100010', '00000001100010', '00000000010010', '01000000010010', '00100000010010', '00010000010010', '00001000010010', '00000100010010', '00000010010010', '00000001010010', '00000000110010', '11111111110010', '00000000001010', '01000000001010', '00100000001010', '00010000001010', '00001000001010', '00000100001010', '00000010001010', '00000001001010', '00000000101010', '11111111101010', '00000000011010', '11111111011010', '11111110111010', '11111101111010', '11111011111010', '11110111111010', '11101111111010', '11011111111010', '10111111111010', '11111111111010', '00000000000110', '01000000000110', '00100000000110', '00010000000110', '00001000000110', '00000100000110', '00000010000110', '00000001000110', '00000000100110', '11111111100110', '00000000010110', '11111111010110', '11111110110110', '11111101110110', '11111011110110', '11110111110110', '11101111110110', '11011111110110', '10111111110110', '11111111110110', '00000000001110', '11111111001110', '11111110101110', '11111101101110', '11111011101110', '11110111101110', '11101111101110', '11011111101110', '10111111101110', '11111111101110', '11111110011110', '11111101011110', '11111011011110', '11110111011110', '11101111011110', '11011111011110', '10111111011110', '11111111011110', '11111100111110', '11111010111110', '11110110111110', '11101110111110', '11011110111110', '10111110111110', '11111110111110', '11111001111110', '11110101111110', '11101101111110', '11011101111110', '10111101111110', '11111101111110', '11110011111110', '11101011111110', '11011011111110', '10111011111110', '11111011111110', '11100111111110', '11010111111110', '10110111111110', '11110111111110', '11001111111110', '10101111111110', '11101111111110', '10011111111110', '11011111111110', '10111111111110', '11111111111110', '00000000000001', '01000000000001', '00100000000001', '01100000000001', '00010000000001', '01010000000001', '00110000000001', '00001000000001', '01001000000001', '00101000000001', '00011000000001', '00000100000001', '01000100000001', '00100100000001', '00010100000001', '00001100000001', '00000010000001', '01000010000001', '00100010000001', '00010010000001', '00001010000001', '00000110000001', '00000001000001', '01000001000001', '00100001000001', '00010001000001', '00001001000001', '00000101000001', '00000011000001', '00000000100001', '01000000100001', '00100000100001', '00010000100001', '00001000100001', '00000100100001', '00000010100001', '00000001100001', '00000000010001', '01000000010001', '00100000010001', '00010000010001', '00001000010001', '00000100010001', '00000010010001', '00000001010001', '00000000110001', '11111111110001', '00000000001001', '01000000001001', '00100000001001', '00010000001001', '00001000001001', '00000100001001', '00000010001001', '00000001001001', '00000000101001', '11111111101001', '00000000011001', '11111111011001', '11111110111001', '11111101111001', '11111011111001', '11110111111001', '11101111111001', '11011111111001', '10111111111001', '11111111111001', '00000000000101', '01000000000101', '00100000000101', '00010000000101', '00001000000101', '00000100000101', '00000010000101', '00000001000101', '00000000100101', '11111111100101', '00000000010101', '11111111010101', '11111110110101', '11111101110101', '11111011110101', '11110111110101', '11101111110101', '11011111110101', '10111111110101', '11111111110101', '00000000001101', '11111111001101', '11111110101101', '11111101101101', '11111011101101', '11110111101101', '11101111101101', '11011111101101', '10111111101101', '11111111101101', '11111110011101', '11111101011101', '11111011011101', '11110111011101', '11101111011101', '11011111011101', '10111111011101', '11111111011101', '11111100111101', '11111010111101', '11110110111101', '11101110111101', '11011110111101', '10111110111101', '11111110111101', '11111001111101', '11110101111101', '11101101111101', '11011101111101', '10111101111101', '11111101111101', '11110011111101', '11101011111101', '11011011111101', '10111011111101', '11111011111101', '11100111111101', '11010111111101', '10110111111101', '11110111111101', '11001111111101', '10101111111101', '11101111111101', '10011111111101', '11011111111101', '10111111111101', '11111111111101', '00000000000011', '01000000000011', '00100000000011', '00010000000011', '00001000000011', '00000100000011', '00000010000011', '00000001000011', '00000000100011', '11111111100011', '00000000010011', '11111111010011', '11111110110011', '11111101110011', '11111011110011', '11110111110011', '11101111110011', '11011111110011', '10111111110011', '11111111110011', '00000000001011', '11111111001011', '11111110101011', '11111101101011', '11111011101011', '11110111101011', '11101111101011', '11011111101011', '10111111101011', '11111111101011', '11111110011011', '11111101011011', '11111011011011', '11110111011011', '11101111011011', '11011111011011', '10111111011011', '11111111011011', '11111100111011', '11111010111011', '11110110111011', '11101110111011', '11011110111011', '10111110111011', '11111110111011', '11111001111011', '11110101111011', '11101101111011', '11011101111011', '10111101111011', '11111101111011', '11110011111011', '11101011111011', '11011011111011', '10111011111011', '11111011111011', '11100111111011', '11010111111011', '10110111111011', '11110111111011', '11001111111011', '10101111111011', '11101111111011', '10011111111011', '11011111111011', '10111111111011', '11111111111011', '00000000000111', '11111111000111', '11111110100111', '11111101100111', '11111011100111', '11110111100111', '11101111100111', '11011111100111', '10111111100111', '11111111100111', '11111110010111', '11111101010111', '11111011010111', '11110111010111', '11101111010111', '11011111010111', '10111111010111', '11111111010111', '11111100110111', '11111010110111', '11110110110111', '11101110110111', '11011110110111', '10111110110111', '11111110110111', '11111001110111', '11110101110111', '11101101110111', '11011101110111', '10111101110111', '11111101110111', '11110011110111', '11101011110111', '11011011110111', '10111011110111', '11111011110111', '11100111110111', '11010111110111', '10110111110111', '11110111110111', '11001111110111', '10101111110111', '11101111110111', '10011111110111', '11011111110111', '10111111110111', '11111111110111', '11111110001111', '11111101001111', '11111011001111', '11110111001111', '11101111001111', '11011111001111', '10111111001111', '11111111001111', '11111100101111', '11111010101111', '11110110101111', '11101110101111', '11011110101111', '10111110101111', '11111110101111', '11111001101111', '11110101101111', '11101101101111', '11011101101111', '10111101101111', '11111101101111', '11110011101111', '11101011101111', '11011011101111', '10111011101111', '11111011101111', '11100111101111', '11010111101111', '10110111101111', '11110111101111', '11001111101111', '10101111101111', '11101111101111', '10011111101111', '11011111101111', '10111111101111', '11111111101111', '11111100011111', '11111010011111', '11110110011111', '11101110011111', '11011110011111', '10111110011111', '11111110011111', '11111001011111', '11110101011111', '11101101011111', '11011101011111', '10111101011111', '11111101011111', '11110011011111', '11101011011111', '11011011011111', '10111011011111', '11111011011111', '11100111011111', '11010111011111', '10110111011111', '11110111011111', '11001111011111', '10101111011111', '11101111011111', '10011111011111', '11011111011111', '10111111011111', '11111111011111', '11111000111111', '11110100111111', '11101100111111', '11011100111111', '10111100111111', '11111100111111', '11110010111111', '11101010111111', '11011010111111', '10111010111111', '11111010111111', '11100110111111', '11010110111111', '10110110111111', '11110110111111', '11001110111111', '10101110111111', '11101110111111', '10011110111111', '11011110111111', '10111110111111', '11111110111111', '11110001111111', '11101001111111', '11011001111111', '10111001111111', '11111001111111', '11100101111111', '11010101111111', '10110101111111', '11110101111111', '11001101111111', '10101101111111', '11101101111111', '10011101111111', '11011101111111', '10111101111111', '11111101111111', '11100011111111', '11010011111111', '10110011111111', '11110011111111', '11001011111111', '10101011111111', '11101011111111', '10011011111111', '11011011111111', '10111011111111', '11111011111111', '11000111111111', '10100111111111', '11100111111111', '10010111111111', '11010111111111', '10110111111111', '11110111111111', '10001111111111', '11001111111111', '10101111111111', '11101111111111', '10011111111111', '11011111111111', '10111111111111', '11111111111111']","['01111111111111', '10000000000000']",0.209,"[-0.0, 0.077, 0.077, 0.154, 0.077, 0.154, 0.154, 0.231, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.077, 0.154, 0.154, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.231, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.231, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.231, 0.231, 0.231, 0.154, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.231, 0.231, 0.154, 0.231, 0.154, 0.154, 0.077, 0.231, 0.154, 0.154, 0.077, 0.154, 0.077, 0.077, -0.0]","[1, 2, 2, 3, 2, 3, 3, 4, 2, 3, 3, 4, 3, 4, 4, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 2, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 4, 4, 3, 4, 3, 3, 2, 4, 3, 3, 2, 3, 2, 2, 1]"
4,14,1,ISRES,1000,9.856,"['00000000000000', '11111111111111']","['01111111111111', '10000000000000']",-0.0,"[-0.0, -0.0]","[1, 1]"
5,14,1,ISRES,1000,8.91,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
6,14,1,ISRES,1000,6.96,"['00000000000000', '11111111111111']","['01111111111111', '10000000000000']",-0.0,"[-0.0, -0.0]","[1, 1]"
7,14,1,ISRES,1000,6.573,"['00000000000000', '11111111111111']","['01111111111111', '10000000000000']",-0.0,"[-0.0, -0.0]","[1, 1]"
8,14,1,ISRES,1000,6.464,"['10000000000000', '01111111111111']","['01111111111111', '10000000000000']",1.0,"[1.0, 1.0]","[0, 0]"
9,14,1,ISRES,1000,6.407,"['10000000000000', '11000000000000', '10100000000000', '10010000000000', '10001000000000', '10000100000000', '10000010000000', '10000001000000', '10000000100000', '10000000010000', '10000000001000', '10000000000100', '10000000000010', '01111111111110', '10000000000001', '01111111111101', '01111111111011', '01111111110111', '01111111101111', '01111111011111', '01111110111111', '01111101111111', '01111011111111', '01110111111111', '01101111111111', '01011111111111', '00111111111111', '01111111111111']","['01111111111111', '10000000000000']",0.929,"[1.0, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 0.923, 1.0]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
