,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,1,POWELL,45.4,10.75174404457249,0.0651,0.015088258864281,1.0,0.0,10
0,0,6,1,POWELL,42.8,8.854377448471464,0.0678,0.0141327043885214,1.0,0.0,10
0,0,8,1,POWELL,51.2,12.035133752661183,0.0938,0.0199543924432135,1.0,0.0,10
0,0,10,1,POWELL,45.8,8.134972512416853,0.1008,0.0180296052831632,1.0,0.0,10
0,0,12,1,POWELL,43.7,5.375872022286244,0.1385999999999999,0.0174049801302194,1.0,0.0,10
0,0,14,1,POWELL,44.9,6.1544924874255695,0.2888,0.0420787621279692,1.0,0.0,10
0,0,16,1,POWELL,44.8,10.73726636015373,1.3276,0.320205905976486,0.867,0.0,0
0,0,18,1,POWELL,49.6,9.968840342676664,6.5607,1.317961814486461,0.882,0.0,0
0,0,20,1,POWELL,50.2,17.51697589324266,32.8605,11.339055616663048,0.9055,0.0332039154317679,1
0,0,22,1,POWELL,39.9,6.640783086353596,124.5165,21.69118826338884,0.937,1.1702778228589004e-16,0
