,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,1,POWELL,61.8,29.69773653926433,0.0916999999999999,0.0441312436564693,0.9000999999999999,0.1608542818827027,7
0,0,6,1,POWELL,95.1,60.01749744866076,0.1619,0.102284407413838,0.79,0.0316227766016838,0
0,0,8,1,POWELL,79.5,34.23205125804373,0.1595,0.0684937142290362,0.8284,0.0904411410808156,0
0,0,10,1,POWELL,89.3,28.23335301061888,0.229,0.0722880042299934,0.8557,0.105303846083607,0
0,0,12,1,POWELL,97.5,29.549393676802687,0.4224,0.1307764844644819,0.909,1.1702778228589004e-16,0
0,0,14,1,POWELL,94.2,24.89890671406188,0.7199,0.1923777822699677,0.923,0.0,0
0,0,16,1,POWELL,98.3,20.89151874698332,2.9862,0.6372035781443792,0.9264,0.0208710325571113,0
0,0,18,1,POWELL,114.4,47.28213193162932,15.7861,6.554585205114899,0.8950000000000001,0.1389172415505001,0
0,0,20,1,POWELL,121.8,59.984812892746255,83.4163,39.69555221390259,0.9469999999999998,1.1702778228589004e-16,0
0,0,22,1,POWELL,114.9,37.46242561999067,323.46989999999994,105.22035419954534,0.8114000000000001,0.1094158225405367,0
