,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,1,POWELL,46.6,3.339993346633426,0.0663999999999999,0.0049035134795822,1.0,0.0,10
0,0,6,1,POWELL,38.0,0.0,0.0607,0.0004830458915396,1.0,0.0,10
0,0,8,1,POWELL,36.0,0.0,0.0658,0.0004216370213557,1.0,0.0,10
0,0,10,1,POWELL,38.9,9.1706052144883,0.0865999999999999,0.0198617443566492,1.0,0.0,10
0,0,12,1,POWELL,41.4,11.47170431975999,0.1315,0.0361209388336214,1.0,0.0,10
0,0,14,1,POWELL,36.0,0.0,0.2406,0.0229888862037482,1.0,0.0,10
0,0,16,1,POWELL,36.0,0.0,1.0437,0.0495536746030672,1.0,0.0,10
0,0,18,1,POWELL,36.0,0.0,4.5518,0.1040702754018756,1.0,0.0,10
0,0,20,1,POWELL,46.0,16.391054470858997,28.79770000000001,10.137925374552724,1.0,0.0,10
0,0,22,1,POWELL,38.3,5.250396810400779,114.2157,15.758236717842372,1.0,0.0,10
