,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,1,POWELL,88.0,55.49374339108469,0.1291,0.0811328814010968,1.0,0.0,10
0,0,6,1,POWELL,129.3,50.24617177236269,0.2221,0.0848848239282696,1.0,0.0,10
0,0,8,1,POWELL,75.6,39.33389830102727,0.1558,0.0814340905954693,0.8427,0.1055146645942849,2
0,0,10,1,POWELL,116.4,44.88305792711643,0.3007999999999999,0.114429794100041,0.678,0.133086438076913,1
0,0,12,1,POWELL,112.6,54.85982136317981,0.4880999999999999,0.2496243622369864,0.7407999999999999,0.171394800906497,1
0,0,14,1,POWELL,125.2,34.816343544056686,0.9761,0.2833813488726611,0.5437,0.0947336030960268,0
0,0,16,1,POWELL,71.7,49.180054674408176,2.0047,1.4058891255477202,0.5963999999999999,0.0496279491147209,0
0,0,18,1,POWELL,72.2,11.669523459755236,9.4971,1.6540676762991822,0.5772999999999999,0.0296874459063834,0
0,0,20,1,POWELL,69.7,26.22149245688862,43.9502,16.36990337852433,0.5507,0.0199502158161537,0
0,0,22,1,POWELL,101.0,35.06501897269636,303.9402,105.75203623865698,0.5,0.0,0
